datetime,open,high,low,close,volume
2020-03-27 09:30:00,253.8800048828125,254.97999572753903,251.6999969482422,252.1000061035156,20434571
2020-03-27 09:45:00,252.1000061035156,253.6833038330078,251.0500030517578,253.2050018310547,11348762
2020-03-27 10:00:00,253.1699981689453,254.58999633789062,252.30999755859372,254.2006072998047,6893411
2020-03-27 10:15:00,253.92999267578125,254.22000122070312,252.1499938964844,252.89990234375,5840169
2020-03-27 10:30:00,252.8800048828125,253.3600006103516,251.9199981689453,252.58999633789062,6348824
2020-03-27 10:45:00,252.58999633789062,253.6999969482422,252.19000244140625,253.1699981689453,3885122
2020-03-27 11:00:00,253.22999572753903,255.0449981689453,253.1699981689453,254.5,6120934
2020-03-27 11:15:00,254.5200042724609,256.22000122070307,253.83999633789062,254.4600067138672,6705801
2020-03-27 11:30:00,254.42999267578125,255.1300048828125,253.30999755859372,253.63499450683597,4226070
2020-03-27 11:45:00,253.63499450683597,253.7899932861328,252.4499969482422,252.67999267578125,5823015
2020-03-27 12:00:00,252.66000366210938,253.38499450683597,252.1999969482422,253.0500030517578,6660172
2020-03-27 12:15:00,253.0500030517578,254.0500030517578,252.69000244140625,253.3500061035156,3212220
2020-03-27 12:30:00,253.33999633789062,255.1100006103516,253.02999877929688,255.1000061035156,4164835
2020-03-27 12:45:00,255.1000061035156,255.19000244140625,254.0800018310547,254.88999938964844,3191950
2020-03-27 13:00:00,255.0500030517578,255.6999969482422,254.02999877929688,254.1499938964844,4063950
2020-03-27 13:15:00,254.16000366210938,255.55999755859372,253.6905059814453,254.09230041503903,4851672
2020-03-27 13:30:00,254.1100006103516,257.29998779296875,253.8999938964844,256.33499145507807,6861909
2020-03-27 13:45:00,256.39010620117193,257.010009765625,255.5800018310547,255.6699066162109,4804943
2020-03-27 14:00:00,255.6699981689453,256.04998779296875,254.8699951171875,255.88999938964844,7685413
2020-03-27 14:15:00,255.8999938964844,256.75320434570307,255.69000244140625,256.33999633789057,4503273
2020-03-27 14:30:00,256.35000610351557,257.25,255.9900054931641,256.17001342773443,3894386
2020-03-27 14:45:00,256.17999267578125,257.70999145507807,255.57000732421875,257.60000610351557,6227012
2020-03-27 15:00:00,257.6199951171875,259.29998779296875,257.0172119140625,258.13009643554693,9424509
2020-03-27 15:15:00,258.13009643554693,260.8099975585937,258.0599975585937,259.77999877929693,8499633
2020-03-27 15:30:00,259.77999877929693,260.0194091796875,255.32000732421875,256.010009765625,12490779
2020-03-27 15:45:00,256.010009765625,257.02999877929693,252.5500030517578,253.3800048828125,30518809
