datetime,open,high,low,close,volume,adj close
2020-03-23 09:30:00,226.34500122070312,226.34500122070312,226.34500122070312,226.34500122070312,21011655,226.34500122070312
2020-03-23 09:31:00,226.35000610351562,226.55479431152344,224.85000610351562,224.9600067138672,1794488,224.9600067138672
2020-03-23 09:32:00,227.1300048828125,227.1300048828125,227.1300048828125,227.1300048828125,1925194,227.1300048828125
2020-03-23 09:33:00,227.13999938964844,228.22000122070312,226.58999633789062,228.00999450683594,2021830,228.00999450683594
2020-03-23 09:34:00,227.8800048828125,228.0500030517578,226.5,227.07000732421875,1912388,227.07000732421875
2020-03-23 09:35:00,227.05189514160156,227.3699951171875,225.0,226.0399932861328,1652914,226.0399932861328
2020-03-23 09:36:00,226.02000427246094,226.9499969482422,225.66000366210938,225.7100067138672,1169031,225.7100067138672
2020-03-23 09:37:00,225.72999572753906,226.08999633789062,224.4199981689453,224.49000549316406,1466412,224.49000549316406
2020-03-23 09:38:00,224.47999572753906,224.61000061035156,222.9600067138672,222.97999572753906,2036346,222.97999572753906
2020-03-23 09:39:00,222.97999572753906,223.3699951171875,221.9600067138672,222.57000732421875,2102426,222.57000732421875
2020-03-23 09:40:00,222.57000732421875,223.66000366210938,222.38499450683594,223.42999267578125,1570249,223.42999267578125
2020-03-23 09:41:00,223.4199981689453,223.55999755859375,222.4199981689453,222.6699981689453,1410962,222.6699981689453
2020-03-23 09:42:00,222.66009521484375,223.52999877929688,222.47999572753906,222.86000061035156,1063999,222.86000061035156
2020-03-23 09:43:00,222.83999633789062,224.2899932861328,222.6199951171875,224.14999389648438,1375660,224.14999389648438
2020-03-23 09:44:00,224.14999389648438,224.17999267578125,223.11000061035156,223.4199981689453,1108900,223.4199981689453
2020-03-23 09:45:00,223.38999938964844,223.49000549316406,222.38999938964844,223.3699951171875,1014648,223.3699951171875
2020-03-23 09:46:00,223.3699951171875,224.16000366210938,222.63999938964844,222.71499633789062,1281748,222.71499633789062
2020-03-23 09:47:00,224.25,224.25,224.25,224.25,835282,224.25
2020-03-23 09:48:00,224.2104949951172,225.17999267578125,223.83999633789062,224.6300048828125,1074323,224.6300048828125
2020-03-23 09:49:00,224.58999633789062,224.58999633789062,224.52999877929688,224.52999877929688,697749,224.52999877929688
2020-03-23 09:50:00,224.52000427246094,224.63999938964844,223.55999755859375,223.89999389648438,875398,223.89999389648438
2020-03-23 09:51:00,223.90989685058594,225.69000244140625,223.86000061035156,225.67999267578125,836392,225.67999267578125
2020-03-23 09:52:00,225.65989685058594,226.25999450683594,225.15150451660156,226.10000610351562,1004878,226.10000610351562
2020-03-23 09:53:00,226.0500030517578,226.3800048828125,225.50999450683594,225.71499633789062,626078,225.71499633789062
2020-03-23 09:54:00,225.72000122070312,226.41000366210938,225.4499969482422,225.5399932861328,903460,225.5399932861328
2020-03-23 09:55:00,225.5399932861328,226.88999938964844,225.44000244140625,226.86000061035156,1217042,226.86000061035156
2020-03-23 09:56:00,226.8699951171875,227.1699981689453,226.56500244140625,226.97000122070312,683325,226.97000122070312
2020-03-23 09:57:00,226.92999267578125,227.33999633789062,226.72000122070312,227.3300018310547,688092,227.3300018310547
2020-03-23 09:58:00,227.30999755859375,227.36000061035156,226.61000061035156,227.19000244140625,768501,227.19000244140625
2020-03-23 09:59:00,227.19500732421875,227.5500030517578,226.7899932861328,227.41000366210938,605783,227.41000366210938
2020-03-23 10:00:00,227.39999389648438,227.8000030517578,226.75,227.05999755859375,752067,227.05999755859375
2020-03-23 10:01:00,227.10000610351562,227.3300018310547,225.88999938964844,225.9499969482422,573687,225.9499969482422
2020-03-23 10:02:00,225.94000244140625,226.02000427246094,225.32000732421875,225.6300048828125,824336,225.6300048828125
2020-03-23 10:03:00,225.63499450683594,226.0050048828125,224.8800048828125,225.1999969482422,573944,225.1999969482422
2020-03-23 10:04:00,225.22999572753906,225.72000122070312,225.1199951171875,225.67999267578125,394484,225.67999267578125
