datetime,open,high,low,close,volume,adj close
2000-08-03,142.875,145.8125,142.625,145.59375,4607100,99.98896026611328
2000-08-04,146.3125,146.71875,145.40625,146.375,3686600,100.52558135986328
2000-08-07,146.71875,148.4375,146.375,148.125,4159800,101.7274169921875
2000-08-08,147.5,148.8125,147.5,148.6875,3658700,102.1136703491211
2000-08-09,149.140625,149.21875,147.375,147.4375,5383800,101.2552490234375
2000-08-10,147.53125,147.859375,146.28125,146.71875,4193400,100.76168060302734
2000-08-11,146.625,148.0,145.5625,147.40625,5089400,101.2337646484375
2000-08-14,147.78125,149.5625,147.0625,149.28125,2966700,102.52146911621094
2000-08-15,149.34375,149.8125,148.5625,149.15625,5564600,102.43563079833984
2000-08-16,149.3125,149.9375,147.84375,148.625,5191600,102.07078552246094
2000-08-17,148.6875,150.4375,148.34375,150.1875,5652200,103.14386749267578
2000-08-18,150.375,150.375,149.21875,149.6875,4626400,102.80046844482422
2000-08-21,150.03125,150.71875,149.40625,150.5,2380600,103.35852813720703
2000-08-22,150.5625,151.3125,150.09375,150.25,3075300,103.18680572509766
2000-08-23,149.8125,151.28125,149.28125,150.84375,5483200,103.59455108642578
2000-08-24,151.15625,151.5,150.5,151.3125,4529000,103.91642761230469
2000-08-25,151.15625,151.625,150.9375,151.25,2822200,103.87355041503906
2000-08-28,151.25,152.90625,151.25,151.765625,5518700,104.22764587402344
2000-08-29,151.4375,151.875,150.90625,151.796875,3561900,104.24910736083984
2000-08-30,151.3125,151.5,150.34375,150.34375,3964800,103.25117492675781
2000-08-31,151.0625,153.09375,150.90625,152.34375,4863100,104.6246566772461
2000-09-01,153.25,153.59375,152.0,152.5,3191200,104.73202514648438
2000-09-05,151.875,152.203125,150.8125,151.28125,3470800,103.89501953125
2000-09-06,151.1875,151.953125,149.53125,149.5625,4322200,102.7146987915039
2000-09-07,150.25,151.078125,149.828125,150.84375,4265500,103.59455108642578
2000-09-08,150.28125,150.5,149.328125,149.8125,3518200,102.88633728027344
2000-09-11,149.75,151.1875,148.6875,149.59375,3937500,102.73607635498047
2000-09-12,149.75,150.25,148.4375,148.5,4769100,101.98494720458984
2000-09-13,148.0,149.34375,147.65625,148.890625,7691600,102.25316619873047
2000-09-14,149.875,149.9375,148.15625,149.640625,3397100,102.76825714111328
2000-09-15,148.1875,148.25,146.0,146.0,4085700,100.5199203491211
2000-09-18,146.375,146.96875,144.203125,144.65625,5109300,99.59475708007812
2000-09-19,145.125,146.3125,144.703125,145.96875,6588200,100.49842834472656
2000-09-20,145.6875,146.03125,143.15625,144.890625,6508100,99.75614929199219
2000-09-21,144.46875,145.5625,142.625,142.6875,5972300,98.23931121826172
2000-09-22,142.625,145.3125,142.421875,145.28125,7791300,100.0250473022461
2000-09-25,145.9375,146.0625,143.71875,144.25,9726300,99.31503295898438
2000-09-26,144.375,145.0,142.40625,142.40625,5302400,98.04562377929688
2000-09-27,143.5625,143.96875,142.125,143.15625,7186200,98.56204223632812
2000-09-28,143.1875,146.328125,142.890625,145.0,7036400,99.83143615722656
2000-09-29,145.46875,145.96875,143.625,143.625,9333600,98.88475799560547
2000-10-02,144.28125,144.90625,143.140625,143.84375,5517800,99.03532409667969
2000-10-03,144.53125,145.75,142.28125,142.5,9347200,98.11022186279297
2000-10-04,142.875,144.25,141.75,143.6875,6148900,98.92779541015625
2000-10-05,143.40625,144.84375,143.3125,144.1875,4566900,99.27203369140625
2000-10-06,143.875,144.640625,139.75,141.0625,10014900,97.12051391601562
2000-10-09,141.3125,141.3125,139.375,140.0,4508000,96.38899230957031
2000-10-10,140.09375,141.25,137.6875,137.6875,6104700,94.79683685302734
